City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
296,dzhebariki-khaya,62.2167,135.8,72.01,37,35,12.95,RU,1627449648
297,mareeba,-17.0,145.4333,79.48,64,0,6.33,AU,1627449649
298,sitangkai,4.6628,119.3928,84.63,78,72,19.1,PH,1627449649
299,fare,-16.7,-151.0167,78.82,70,37,8.66,PF,1627449650
300,batagay-alyta,67.8006,130.4114,56.93,42,19,14.54,RU,1627449650
301,morant bay,17.8815,-76.4093,82.02,83,100,4.5,JM,1627449651
302,rundu,-17.9333,19.7667,43.09,58,2,6.06,NA,1627449651
303,venado,22.9333,-101.0833,65.95,71,50,8.39,MX,1627449651
304,paratinga,-12.6906,-43.1842,69.33,43,4,3.62,BR,1627449652
305,cuamba,-14.8031,36.5372,56.86,86,42,3.36,MZ,1627449652
306,staryy nadym,65.6118,72.6842,58.24,72,90,7.05,RU,1627449653
307,inongo,-1.95,18.2667,64.44,52,21,4.36,CD,1627449653
308,pingliang,35.5392,106.6861,77.07,43,96,1.54,CN,1627449653
309,watertown,42.3709,-71.1828,68.29,94,90,1.99,US,1627449447
310,port moresby,-9.4431,147.1797,81.82,78,75,11.5,PG,1627449654
311,viedma,-40.8135,-62.9967,43.92,70,86,15.05,AR,1627449654
312,san antonio,29.4241,-98.4936,83.08,73,1,6.91,US,1627449488
313,touros,-5.1989,-35.4608,74.3,90,12,10.87,BR,1627449655
314,bubaque,11.2833,-15.8333,79.83,81,100,8.97,GW,1627449656
315,kutum,14.2,24.6667,68.68,87,100,15.57,SD,1627449656
316,sitka,57.0531,-135.33,60.69,77,75,0.0,US,1627449431
317,eureka,40.8021,-124.1637,69.67,93,100,1.01,US,1627449590
318,ayagoz,47.9714,80.4392,71.47,28,0,13.11,KZ,1627449657
319,leh,34.1667,77.5833,68.88,41,99,0.65,IN,1627449657
320,baykit,61.67,96.37,71.67,69,100,7.61,RU,1627449658
321,san cristobal,7.7669,-72.225,64.74,94,59,1.3,VE,1627449658
322,cabedelo,-6.9811,-34.8339,74.07,85,11,10.4,BR,1627449658
323,rehoboth,-23.3167,17.0833,47.12,38,0,6.73,NA,1627449659
324,haines junction,60.7522,-137.5108,55.35,67,48,6.91,CA,1627449659
325,palembang,-2.9167,104.7458,86.09,66,40,12.66,ID,1627449660
326,sudbury,46.49,-80.99,63.46,90,59,5.3,CA,1627449480
327,quang ngai,15.1167,108.8,99.23,39,92,8.95,VN,1627449661
328,koshurnikovo,54.1667,93.3,55.63,97,100,6.8,RU,1627449661
329,gimli,50.6336,-96.9907,75.22,73,18,8.05,CA,1627449661
330,barreirinhas,-2.7469,-42.8264,75.24,91,24,4.43,BR,1627449618
331,coxim,-18.5067,-54.76,60.17,76,17,4.76,BR,1627449662
332,san agustin,20.5333,-103.4667,69.51,70,40,0.0,MX,1627449662
333,gua musang,4.8823,101.9644,93.88,43,67,2.59,MY,1627449663
334,shiraz,29.6036,52.5388,90.84,15,0,6.91,IR,1627449663
335,baherden,38.4362,57.4316,95.27,14,0,7.07,TM,1627449664
336,talnakh,69.4865,88.3972,57.67,89,97,7.29,RU,1627449664
337,piacabucu,-10.4056,-36.4344,72.86,86,18,3.87,BR,1627449664
338,kungurtug,50.5994,97.5228,70.52,63,58,1.34,RU,1627449665
339,airai,-8.9266,125.4092,76.73,39,64,4.79,TL,1627449665
340,walvis bay,-22.9575,14.5053,55.09,93,0,3.44,NA,1627449666
341,wukari,7.85,9.7833,70.47,82,100,4.05,NG,1627449666
342,paamiut,61.994,-49.6678,44.2,83,81,9.57,GL,1627449666
343,constitucion,-35.3333,-72.4167,43.68,80,0,6.71,CL,1627449650
344,chateauroux,46.8167,1.7,59.0,100,40,6.91,FR,1627449667
345,folldal,62.1325,9.9968,58.26,93,100,3.53,NO,1627449667
346,los llanos de aridane,28.6585,-17.9182,69.55,85,90,12.66,ES,1627449668
347,christchurch,-43.5333,172.6333,52.92,69,75,4.0,NZ,1627449668
348,pahrump,36.2083,-115.9839,91.06,34,32,1.01,US,1627449376
349,humaita,-7.5061,-63.0208,74.82,54,17,1.03,BR,1627449669
350,sterling,39.0062,-77.4286,76.69,79,1,3.0,US,1627449561
351,esna,25.2934,32.554,87.64,21,80,15.9,EG,1627449669
352,vanavara,60.34,102.2797,90.79,28,0,1.01,RU,1627449670
353,poum,-20.2333,164.0167,72.36,61,3,14.52,NC,1627449670
354,ancud,-41.8697,-73.8203,40.53,89,66,4.5,CL,1627449670
355,den helder,52.9599,4.7593,62.98,94,75,10.36,NL,1627449513
356,aklavik,68.2191,-135.0107,59.72,84,99,9.48,CA,1627449671
357,port hedland,-20.3167,118.5667,82.45,51,29,13.8,AU,1627449671
358,iqaluit,63.7506,-68.5145,44.33,81,75,5.99,CA,1627449672
359,aginskoye,51.1,114.53,74.21,55,33,4.59,RU,1627449672
360,nizwa,22.9333,57.5333,94.08,38,93,8.66,OM,1627449673
361,padang,-0.9492,100.3543,83.93,74,67,5.53,ID,1627449673
362,puerto colombia,10.9878,-74.9547,77.09,83,99,6.08,CO,1627449674
363,hambantota,6.1241,81.1185,86.74,65,100,20.02,LK,1627449674
364,baturaja,-4.1333,104.1667,88.02,42,66,6.06,ID,1627449674
